,product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
1156,Lotto Runner Plus Msh – Erkek Spor Ayakkabı t1988,229.0,249.0,8,freeShipping,0,0,sporplus,100,5
1157,NIKE JR VAPOR 13 ACADEMY FG MG ÇOCUK KRAMPON AT8123 100,249.0,349.0,29,noShipping,0,0,loft_35,100,5
1158,Lumberjack Vendor 1fx Siyah Erkek Sneaker 100787093,249.0,339.0,27,freeShipping,100,1,Yağmur-Spor,97,5
1159,Jump Erkek Spor Ayakkabı 25519 Haki-Siyah-Sarı/Khaki-Black-Yellow,245.0,0.0,0,freeShipping,0,0,DIANDOR,94,5
1160,Under Armour - Koşu Ayakkabısı - Ua Ps Assert 8 Ac,249.0,499.0,50,freeShipping,60,2,UnderArmour,92,5
1161,Lotto space 600 II Alr Erkek Tenis Ayakkabısı,229.0,0.0,0,noShipping,100,1,aksporonline,91,5
1162,Speedo Slide Erkek Terlik,239.0,0.0,0,noShipping,0,0,aksporonline,91,5
1163,LOTTO T1690 RUNNER PLUS MSH SPOR AYAKKABI,209.0,0.0,0,freeShipping,0,0,AksporLotto,97,5
1164,Jump 25528 Erkek Basketbol Ayakkabı BEYAZ-KIRMIZI,209.0,260.0,19,freeShipping,0,0,Modalist,95,5
1165,Hammer Jack Almera Erkek Spor Ayakkabı Siyah Gri v1,249.0,349.0,29,freeShipping,100,2,MarcaSpor,95,5
1166,Jump 22233 Günlük Yürüyüş Koşu Erkek Spor Ayakkabı Siyah,203.0,230.0,12,freeShipping,80,2,Ayakland,100,5
1167,LESCON JOURNEY SNEAKERS GÜNLÜK ERKEK SPOR AYAKKABISI,215.0,239.0,10,freeShipping,100,2,TEKTAŞAYAKKABIVESPOR,100,5
1168,Lig Soma Halı saha Ayakkabısı Turuncu 55,201.0,0.0,0,freeShipping,0,0,markahit,98,5
1169,BULLDOZER 201513 SIYAH ERKEK SPOR AYAKKABI,220.0,240.0,8,freeShipping,80,15,BULLDOZER,91,5
1170,JUMP 25695 WATERPROF OUTDOOR ERKEK AYAKKABISI,238.0,264.0,10,freeShipping,100,1,TEKTAŞAYAKKABIVESPOR,100,5
1171,Lotto Cobe Erkek Beyaz Basketbol Ayakkabısı -  T2534,245.0,325.0,25,noShipping,0,0,Noktaspor11,100,5
1172,Jump Yeni Sezon Su Geçirmez Bayan Spor Ayakkabı 25740,244.0,0.0,0,freeShipping,0,0,PabucKundura,97,5
1173,Lotto T6821 Maestro 700 AG28 Suni Çim Kramponu,209.0,289.0,28,freeShipping,80,1,Sporaks,99,5
1174,Lumberjack 100787093 Vendor 1Fx Erkek Günlük Spor Ayakkabı,233.0,0.0,0,freeShipping,0,0,ALTINDAĞ,100,5
1175,JUMP 25676 ERKEK CONFORT CASUAL GÜNLÜK SPOR AYAKKABISI,219.0,299.0,27,freeShipping,80,5,özenayakkabıçanta,100,5
1176,JUMP 21513 XXL 46-47-48 BÜYÜK NUMARA ERKEK GÜNLÜK SPOR AYAKKABISI,219.0,369.0,41,freeShipping,90,14,özenayakkabıçanta,100,5
